"ENSENADA,"	B.C.	(31	51	"N,"	116	38	W)
Fecha	Inicial:	20/04/2018					
Fecha	Final:	20/11/2018					
Zona	de	Tiempo:	0				
Intervalo	de	Muestreo:	60	minuto(s)			
Nivel	de	Referencia:	Bajamar	Media	Inferior	(NBMI)	
Alturas	en	metros					
2018	4	26	3	0	0	1.357	
2018	4	26	4	0	0	1.195	
2018	4	26	5	0	0	0.923	
2018	4	26	6	0	0	0.616	
2018	4	26	7	0	0	0.358	
2018	4	26	8	0	0	0.217	
2018	4	26	9	0	0	0.231	
2018	4	26	10	0	0	0.397	
2018	4	26	11	0	0	0.669	
2018	4	26	12	0	0	0.972	
2018	4	26	13	0	0	1.223	
2018	4	26	14	0	0	1.35	
2018	4	26	15	0	0	1.313	
2018	4	26	16	0	0	1.113	
2018	4	26	17	0	0	0.794	
2018	4	26	18	0	0	0.434	
2018	4	26	19	0	0	0.119	
2018	4	26	20	0	0	-0.071	
2018	4	26	21	0	0	-0.086	
2018	4	26	22	0	0	0.081	
2018	4	26	23	0	0	0.393	
2018	4	27	0	0	0	0.778	
2018	4	27	1	0	0	1.142	
2018	4	27	2	0	0	1.401	
2018	4	27	3	0	0	1.492	
2018	4	27	4	0	0	1.395	
2018	4	27	5	0	0	1.137	
2018	4	27	6	0	0	0.785	
2018	4	27	7	0	0	0.429	
2018	4	27	8	0	0	0.16	
2018	4	27	9	0	0	0.044	
2018	4	27	10	0	0	0.111	
2018	4	27	11	0	0	0.338	
2018	4	27	12	0	0	0.664	
2018	4	27	13	0	0	1	
2018	4	27	14	0	0	1.256	
2018	4	27	15	0	0	1.362	
2018	4	27	16	0	0	1.289	
2018	4	27	17	0	0	1.053	
2018	4	27	18	0	0	0.716	
2018	4	27	19	0	0	0.365	
2018	4	27	20	0	0	0.091	
2018	4	27	21	0	0	-0.031	
2018	4	27	22	0	0	0.035	
2018	4	27	23	0	0	0.277	
2018	4	28	0	0	0	0.64	
2018	4	28	1	0	0	1.036	
2018	4	28	2	0	0	1.37	
2018	4	28	3	0	0	1.557	
2018	4	28	4	0	0	1.551	
2018	4	28	5	0	0	1.351	
2018	4	28	6	0	0	1.005	
2018	4	28	7	0	0	0.598	
2018	4	28	8	0	0	0.228	
2018	4	28	9	0	0	-0.016	
2018	4	28	10	0	0	-0.077	
2018	4	28	11	0	0	0.055	
2018	4	28	12	0	0	0.34	
2018	4	28	13	0	0	0.7	
2018	4	28	14	0	0	1.04	
2018	4	28	15	0	0	1.27	
2018	4	28	16	0	0	1.333	
2018	4	28	17	0	0	1.215	
2018	4	28	18	0	0	0.953	
2018	4	28	19	0	0	0.619	
2018	4	28	20	0	0	0.306	
2018	4	28	21	0	0	0.103	
2018	4	28	22	0	0	0.069	
2018	4	28	23	0	0	0.22	
2018	4	29	0	0	0	0.524	
2018	4	29	1	0	0	0.91	
2018	4	29	2	0	0	1.282	
2018	4	29	3	0	0	1.547	
2018	4	29	4	0	0	1.637	
2018	4	29	5	0	0	1.523	
2018	4	29	6	0	0	1.229	
2018	4	29	7	0	0	0.822	
2018	4	29	8	0	0	0.395	
2018	4	29	9	0	0	0.049	
