"Plot Title: sargento-canal"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
117,09/09/2018 16:16:56,124.329,26.488,1.330
118,09/09/2018 16:31:57,123.365,26.488,1.234
119,09/09/2018 16:46:58,122.466,26.488,1.145
120,09/09/2018 17:01:59,121.607,26.488,1.059
121,09/09/2018 17:17:00,120.813,26.488,0.980
122,09/09/2018 17:32:01,120.059,26.488,0.905
123,09/09/2018 17:47:02,119.318,26.488,0.832
124,09/09/2018 18:02:03,118.564,26.488,0.757
125,09/09/2018 18:17:04,117.785,26.488,0.679
126,09/09/2018 18:32:05,117.032,26.488,0.604
127,09/09/2018 18:47:06,116.383,26.488,0.540
128,09/09/2018 19:02:07,115.800,26.488,0.482
129,09/09/2018 19:17:08,115.281,26.488,0.430
130,09/09/2018 19:32:09,114.892,26.488,0.391
131,09/09/2018 19:47:10,114.581,26.488,0.360
132,09/09/2018 20:02:11,114.348,26.488,0.337
133,09/09/2018 20:17:12,114.180,26.488,0.321
134,09/09/2018 20:32:13,114.037,26.488,0.306
135,09/09/2018 20:47:14,113.908,26.488,0.294
136,09/09/2018 21:02:15,113.817,26.488,0.284
137,09/09/2018 21:17:16,113.739,26.488,0.277
138,09/09/2018 21:32:17,113.713,26.488,0.274
139,09/09/2018 21:47:18,113.662,26.488,0.269
140,09/09/2018 22:02:19,113.636,26.488,0.266
141,09/09/2018 22:17:20,113.571,26.488,0.260
142,09/09/2018 22:32:21,113.532,26.488,0.256
143,09/09/2018 22:47:22,113.519,26.488,0.255
144,09/09/2018 23:02:23,113.480,26.488,0.251
145,09/09/2018 23:17:24,113.480,26.488,0.251
146,09/09/2018 23:32:25,113.454,26.488,0.248
147,09/09/2018 23:47:26,113.856,26.488,0.288
148,09/10/2018 00:02:27,116.760,26.488,0.577
149,09/10/2018 00:17:28,118.772,26.488,0.777
150,09/10/2018 00:32:29,119.851,26.488,0.885
151,09/10/2018 00:47:30,120.774,26.488,0.977
152,09/10/2018 01:02:31,121.841,26.488,1.083
153,09/10/2018 01:17:32,123.078,26.488,1.206
154,09/10/2018 01:32:33,124.316,26.488,1.329
155,09/10/2018 01:47:34,125.412,26.488,1.438
156,09/10/2018 02:02:35,126.169,26.488,1.513
157,09/10/2018 02:17:36,126.587,26.488,1.555
158,09/10/2018 02:32:37,126.587,26.488,1.555
159,09/10/2018 02:47:38,126.247,26.488,1.521
160,09/10/2018 03:02:39,125.634,26.488,1.460
161,09/10/2018 03:17:40,124.929,26.488,1.390
162,09/10/2018 03:32:41,124.121,26.488,1.310
163,09/10/2018 03:47:42,123.300,26.488,1.228
164,09/10/2018 04:02:43,122.466,26.488,1.145
165,09/10/2018 04:17:44,121.698,26.488,1.069
166,09/10/2018 04:32:45,120.943,26.488,0.993
167,09/10/2018 04:47:46,120.215,26.488,0.921
168,09/10/2018 05:02:47,119.487,26.488,0.849
169,09/10/2018 05:17:48,118.720,26.488,0.772
170,09/10/2018 05:32:49,117.928,26.488,0.693
171,09/10/2018 05:47:50,117.149,26.488,0.616
172,09/10/2018 06:02:51,116.422,26.488,0.544
173,09/10/2018 06:17:52,115.800,26.488,0.482
174,09/10/2018 06:32:53,115.307,26.488,0.433
175,09/10/2018 06:47:54,114.879,26.488,0.390
176,09/10/2018 07:02:55,114.555,26.488,0.358
177,09/10/2018 07:17:56,114.296,26.488,0.332
178,09/10/2018 07:32:57,114.141,26.488,0.317
179,09/10/2018 07:47:58,113.959,26.488,0.299
180,09/10/2018 08:02:59,113.869,26.488,0.290
181,09/10/2018 08:18:00,113.791,26.488,0.282
182,09/10/2018 08:33:01,113.739,26.488,0.277
183,09/10/2018 08:48:02,113.674,26.488,0.270
184,09/10/2018 09:03:03,113.623,26.488,0.265
185,09/10/2018 09:18:04,113.584,26.488,0.261
186,09/10/2018 09:33:05,113.571,26.488,0.260
187,09/10/2018 09:48:06,113.532,26.488,0.256
188,09/10/2018 10:03:07,113.493,26.488,0.252
189,09/10/2018 10:18:08,113.480,26.488,0.251
190,09/10/2018 10:33:09,113.454,26.488,0.248
191,09/10/2018 10:48:10,113.428,26.488,0.246
192,09/10/2018 11:03:11,113.403,26.488,0.243
193,09/10/2018 11:18:12,113.377,26.488,0.241
194,09/10/2018 11:33:13,113.338,26.488,0.237
195,09/10/2018 11:48:14,113.312,26.488,0.234
196,09/10/2018 12:03:15,113.299,26.488,0.233
197,09/10/2018 12:18:16,113.778,26.488,0.281
198,09/10/2018 12:33:17,117.447,26.488,0.646
199,09/10/2018 12:48:18,119.435,26.488,0.843
200,09/10/2018 13:03:19,120.644,26.488,0.964
201,09/10/2018 13:18:20,121.958,26.488,1.094
202,09/10/2018 13:33:21,123.521,26.488,1.250
203,09/10/2018 13:48:22,125.190,26.488,1.416
204,09/10/2018 14:03:23,126.678,26.488,1.564
205,09/10/2018 14:18:24,128.324,26.488,1.728
206,09/10/2018 14:33:25,128.821,26.488,1.777
207,09/10/2018 14:48:26,128.991,26.488,1.794
208,09/10/2018 15:03:27,128.834,26.488,1.778
209,09/10/2018 15:18:28,128.337,26.488,1.729
210,09/10/2018 15:33:29,127.697,26.488,1.665
211,09/10/2018 15:48:30,127.018,26.488,1.598
212,09/10/2018 16:03:31,126.156,26.488,1.512
213,09/10/2018 16:18:32,125.242,26.488,1.421
214,09/10/2018 16:33:33,124.329,26.488,1.330
215,09/10/2018 16:48:34,123.417,26.488,1.240
216,09/10/2018 17:03:35,122.505,26.488,1.149
217,09/10/2018 17:18:36,121.672,26.488,1.066
218,09/10/2018 17:33:37,120.865,26.488,0.986
219,09/10/2018 17:48:38,120.111,26.488,0.911
220,09/10/2018 18:03:39,119.344,26.488,0.834
221,09/10/2018 18:18:40,118.577,26.488,0.758
222,09/10/2018 18:33:41,117.798,26.488,0.681
223,09/10/2018 18:48:42,117.006,26.488,0.602
224,09/10/2018 19:03:43,116.254,26.488,0.527
225,09/10/2018 19:18:44,115.605,26.488,0.462
226,09/10/2018 19:33:45,115.048,26.488,0.407
227,09/10/2018 19:48:46,114.620,26.488,0.364
228,09/10/2018 20:03:47,114.283,26.488,0.331
229,09/10/2018 20:18:48,114.063,26.488,0.309
230,09/10/2018 20:33:49,113.882,26.488,0.291
231,09/10/2018 20:48:50,113.765,26.488,0.279
232,09/10/2018 21:03:51,113.662,26.488,0.269
233,09/10/2018 21:18:52,113.584,26.488,0.261
234,09/10/2018 21:33:53,113.493,26.488,0.252
235,09/10/2018 21:48:54,113.441,26.488,0.247
236,09/10/2018 22:03:55,113.416,26.488,0.245
237,09/10/2018 22:18:56,113.377,26.488,0.241
238,09/10/2018 22:33:57,113.377,26.488,0.241
239,09/10/2018 22:48:58,113.338,26.488,0.237
240,09/10/2018 23:03:59,113.299,26.488,0.233
241,09/10/2018 23:19:00,113.299,26.488,0.233
242,09/10/2018 23:34:01,113.286,26.488,0.232
243,09/10/2018 23:49:02,113.273,26.488,0.230
244,09/11/2018 00:04:03,113.273,26.488,0.230
245,09/11/2018 00:19:04,113.273,26.488,0.230
246,09/11/2018 00:34:05,114.050,26.488,0.308
247,09/11/2018 00:49:06,117.110,26.488,0.612
248,09/11/2018 01:04:07,118.915,26.488,0.792
249,09/11/2018 01:19:08,119.968,26.488,0.896
250,09/11/2018 01:34:09,120.865,26.488,0.986
251,09/11/2018 01:49:10,121.971,26.488,1.096
252,09/11/2018 02:04:11,123.235,26.488,1.221
253,09/11/2018 02:19:12,124.525,26.488,1.350
254,09/11/2018 02:34:13,125.647,26.488,1.461
255,09/11/2018 02:49:14,126.430,26.488,1.539
256,09/11/2018 03:04:15,126.848,26.488,1.581
257,09/11/2018 03:19:16,126.835,26.488,1.580
258,09/11/2018 03:34:17,126.365,26.488,1.533
259,09/11/2018 03:49:18,125.634,26.488,1.460
260,09/11/2018 04:04:19,124.786,26.488,1.376
261,09/11/2018 04:19:20,123.964,26.488,1.294
262,09/11/2018 04:34:21,123.130,26.488,1.211
263,09/11/2018 04:49:22,122.362,26.488,1.135
264,09/11/2018 05:04:23,121.581,26.488,1.057
265,09/11/2018 05:19:24,120.865,26.488,0.986
266,09/11/2018 05:34:25,120.163,26.488,0.916
267,09/11/2018 05:49:26,119.435,26.488,0.843
268,09/11/2018 06:04:27,118.694,26.488,0.770
269,09/11/2018 06:19:28,117.902,26.488,0.691
270,09/11/2018 06:34:29,117.097,26.488,0.611
271,09/11/2018 06:49:30,116.357,26.488,0.537
