Plot Title: salinidad,,,,,,
#,Fecha,"Cond Low Rng, S/cm","Cond High Rng, S/cm","Temp, C","Specific Conductance, S/cm","Salinity, ppt"
81,8/17/18 8:45,33686,54525.5,28.28,51192.2,33.6148
82,8/17/18 9:00,33686,54525.5,28.27,51201.8,33.6219
83,8/17/18 9:15,33686,54525.5,28.27,51201.8,33.6219
84,8/17/18 9:30,33686,54525.5,28.28,51192.2,33.6148
85,8/17/18 9:45,33686,54525.5,28.28,51192.2,33.6148
86,8/17/18 10:00,33686,54525.5,28.28,51192.2,33.6148
87,8/17/18 10:15,33686,54525.5,28.29,51182.5,33.6077
88,8/17/18 10:30,33686,54525.5,28.29,51182.5,33.6077
89,8/17/18 10:45,33686,54525.5,28.29,51182.5,33.6077
90,8/17/18 11:00,33686,54525.5,28.31,51163.3,33.5935
91,8/17/18 11:15,33686,54525.5,28.32,51153.7,33.5864
92,8/17/18 11:30,33686,54525.5,28.32,51153.7,33.5864
93,8/17/18 11:45,33686,54525.5,28.32,51153.7,33.5864
94,8/17/18 12:00,33686,54525.5,28.34,51134.4,33.5722
95,8/17/18 12:15,33686,54525.5,28.34,51134.4,33.5722
96,8/17/18 12:30,33686,54525.5,28.34,51134.4,33.5722
97,8/17/18 12:45,33686,54525.5,28.34,51134.4,33.5722
98,8/17/18 13:00,33686,54525.5,28.35,51124.8,33.5651
99,8/17/18 13:15,33686,54525.5,28.35,51124.8,33.5651
100,8/17/18 13:30,33686,54525.5,28.35,51124.8,33.5651
101,8/17/18 13:45,33686,54525.5,28.35,51124.8,33.5651
102,8/17/18 14:00,33686,54525.5,28.35,51124.8,33.5651
103,8/17/18 14:15,33686,54525.5,28.35,51124.8,33.5651
104,8/17/18 14:30,33686,54525.5,28.35,51124.8,33.5651
105,8/17/18 14:45,33686,54525.5,28.35,51124.8,33.5651
106,8/17/18 15:00,33686,54525.5,28.35,51124.8,33.5651
107,8/17/18 15:15,33686,54525.5,28.35,51124.8,33.5651
108,8/17/18 15:30,33686,54525.5,28.35,51124.8,33.5651
109,8/17/18 15:45,33686,54525.5,28.35,51124.8,33.5651
110,8/17/18 16:00,33686,54525.5,28.35,51124.8,33.5651
111,8/17/18 16:15,33686,54525.5,28.34,51134.4,33.5722
112,8/17/18 16:30,33686,54525.5,28.32,51153.7,33.5864
113,8/17/18 16:45,33686,54525.5,28.32,51153.7,33.5864
114,8/17/18 17:00,33686,54525.5,28.37,51105.6,33.551
115,8/17/18 17:15,33686,54525.5,28.4,51076.8,33.5297
116,8/17/18 17:30,33686,54525.5,28.43,51048,33.5085
117,8/17/18 17:45,33686,54525.5,28.44,51038.5,33.5015
118,8/17/18 18:00,33686,54525.5,28.43,51048,33.5085
119,8/17/18 18:15,33686,54525.5,28.43,51048,33.5085
120,8/17/18 18:30,33686,54525.5,28.41,51067.2,33.5227
121,8/17/18 18:45,33686,54525.5,28.41,51067.2,33.5227
122,8/17/18 19:00,33686,54525.5,28.4,51076.8,33.5297
123,8/17/18 19:15,33686,54525.5,28.38,51096,33.5439
124,8/17/18 19:30,33686,54525.5,28.32,51153.7,33.5864
125,8/17/18 19:45,33686,54525.5,28.29,51182.5,33.6077
126,8/17/18 20:00,33686,54525.5,28.29,51182.5,33.6077
127,8/17/18 20:15,33686,54525.5,28.28,51192.2,33.6148
128,8/17/18 20:30,33686,54525.5,28.27,51201.8,33.6219
129,8/17/18 20:45,33686,54525.5,28.28,51192.2,33.6148
130,8/17/18 21:00,33686,54525.5,28.28,51192.2,33.6148
131,8/17/18 21:15,33686,54525.5,28.28,51192.2,33.6148
132,8/17/18 21:30,33686,54525.5,28.29,51182.5,33.6077
133,8/17/18 21:45,33686,54525.5,28.31,51163.3,33.5935
134,8/17/18 22:00,33686,54525.5,28.31,51163.3,33.5935
135,8/17/18 22:15,33686,54525.5,28.32,51153.7,33.5864
136,8/17/18 22:30,33686,54525.5,28.34,51134.4,33.5722
137,8/17/18 22:45,33686,54525.5,28.35,51124.8,33.5651
138,8/17/18 23:00,33686,54525.5,28.35,51124.8,33.5651
139,8/17/18 23:15,33686,54525.5,28.37,51105.6,33.551
140,8/17/18 23:30,33686,54525.5,28.38,51096,33.5439
141,8/17/18 23:45,33686,54525.5,28.4,51076.8,33.5297
142,8/18/18 0:00,33686,54525.5,28.4,51076.8,33.5297
143,8/18/18 0:15,33686,54525.5,28.41,51067.2,33.5227
144,8/18/18 0:30,33686,54525.5,28.43,51048,33.5085
145,8/18/18 0:45,33686,54525.5,28.44,51038.5,33.5015
146,8/18/18 1:00,33686,54525.5,28.44,51038.5,33.5015
147,8/18/18 1:15,33686,54525.5,28.45,51028.9,33.4944
148,8/18/18 1:30,33686,54525.5,28.45,51028.9,33.4944
149,8/18/18 1:45,33686,54525.5,28.47,51009.7,33.4803
150,8/18/18 2:00,33686,54525.5,28.47,51009.7,33.4803
151,8/18/18 2:15,33686,54525.5,28.48,51000.2,33.4732
152,8/18/18 2:30,33686,54525.5,28.5,50981,33.4591
153,8/18/18 2:45,33686,54525.5,28.5,50981,33.4591
154,8/18/18 3:00,33686,54525.5,28.5,50981,33.4591
155,8/18/18 3:15,33686,54525.5,28.51,50971.5,33.4521
156,8/18/18 3:30,33686,54525.5,28.51,50971.5,33.4521
157,8/18/18 3:45,33686,54525.5,28.53,50952.3,33.438
158,8/18/18 4:00,33686,54525.5,28.54,50942.8,33.431
159,8/18/18 4:15,33686,54525.5,28.54,50942.8,33.431
160,8/18/18 4:30,33686,54525.5,28.54,50942.8,33.431
161,8/18/18 4:45,33686,54525.5,28.54,50942.8,33.431
162,8/18/18 5:00,33686,54525.5,28.54,50942.8,33.431
163,8/18/18 5:15,33686,54525.5,28.56,50923.7,33.4169
164,8/18/18 5:30,33686,54525.5,28.56,50923.7,33.4169
165,8/18/18 5:45,33686,54525.5,28.56,50923.7,33.4169
166,8/18/18 6:00,33686,54525.5,28.56,50923.7,33.4169
167,8/18/18 6:15,33686,54525.5,28.56,50923.7,33.4169
168,8/18/18 6:30,33686,54525.5,28.54,50942.8,33.431
169,8/18/18 6:45,33686,54525.5,28.54,50942.8,33.431
170,8/18/18 7:00,33686,54525.5,28.53,50952.3,33.438
171,8/18/18 7:15,33686,54525.5,28.54,50942.8,33.431
172,8/18/18 7:30,33686,54525.5,28.57,50914.2,33.4099
173,8/18/18 7:45,33686,54525.5,28.6,50885.5,33.3888
174,8/18/18 8:00,33686,54525.5,28.62,50866.5,33.3748
175,8/18/18 8:15,33686,54525.5,28.62,50866.5,33.3748
176,8/18/18 8:30,33686,54525.5,28.63,50857,33.3677
177,8/18/18 8:45,33686,54525.5,28.63,50857,33.3677
178,8/18/18 9:00,33686,54525.5,28.63,50857,33.3677
179,8/18/18 9:15,33686,54525.5,28.63,50857,33.3677
180,8/18/18 9:30,33686,54525.5,28.63,50857,33.3677
181,8/18/18 9:45,33686,54525.5,28.62,50866.5,33.3748
182,8/18/18 10:00,33686,54525.5,28.62,50866.5,33.3748
183,8/18/18 10:15,33686,54525.5,28.62,50866.5,33.3748
184,8/18/18 10:30,33686,54525.5,28.57,50914.2,33.4099
185,8/18/18 10:45,33686,54525.5,28.54,50942.8,33.431
186,8/18/18 11:00,33686,54525.5,28.51,50971.5,33.4521
187,8/18/18 11:15,33686,54525.5,28.48,51000.2,33.4732
188,8/18/18 11:30,33686,54525.5,28.48,51000.2,33.4732
189,8/18/18 11:45,33686,54525.5,28.48,51000.2,33.4732
190,8/18/18 12:00,33686,54525.5,28.48,51000.2,33.4732
191,8/18/18 12:15,33686,54525.5,28.48,51000.2,33.4732
192,8/18/18 12:30,33686,54525.5,28.48,51000.2,33.4732
193,8/18/18 12:45,33686,54525.5,28.47,51009.7,33.4803
194,8/18/18 13:00,33686,54525.5,28.48,51000.2,33.4732
195,8/18/18 13:15,33686,54525.5,28.48,51000.2,33.4732
196,8/18/18 13:30,33686,54525.5,28.48,51000.2,33.4732
197,8/18/18 13:45,33686,54525.5,28.5,50981,33.4591
198,8/18/18 14:00,33686,54525.5,28.5,50981,33.4591
199,8/18/18 14:15,33686,54525.5,28.48,51000.2,33.4732
200,8/18/18 14:30,33686,54525.5,28.5,50981,33.4591
201,8/18/18 14:45,33686,54525.5,28.5,50981,33.4591
202,8/18/18 15:00,33686,54525.5,28.48,51000.2,33.4732
203,8/18/18 15:15,33686,54525.5,28.48,51000.2,33.4732
204,8/18/18 15:30,33686,54525.5,28.48,51000.2,33.4732
205,8/18/18 15:45,33686,54525.5,28.48,51000.2,33.4732
206,8/18/18 16:00,33686,54525.5,28.48,51000.2,33.4732
207,8/18/18 16:15,33686,54525.5,28.48,51000.2,33.4732
208,8/18/18 16:30,33686,54525.5,28.48,51000.2,33.4732
209,8/18/18 16:45,33686,54525.5,28.48,51000.2,33.4732
210,8/18/18 17:00,33686,54525.5,28.48,51000.2,33.4732
211,8/18/18 17:15,33686,54525.5,28.47,51009.7,33.4803
212,8/18/18 17:30,33686,54525.5,28.47,51009.7,33.4803
213,8/18/18 17:45,33686,54525.5,28.47,51009.7,33.4803
214,8/18/18 18:00,33686,54525.5,28.47,51009.7,33.4803
215,8/18/18 18:15,33686,54525.5,28.45,51028.9,33.4944
216,8/18/18 18:30,33686,54525.5,28.47,51009.7,33.4803
217,8/18/18 18:45,33686,54525.5,28.45,51028.9,33.4944
218,8/18/18 19:00,33686,54525.5,28.44,51038.5,33.5015
219,8/18/18 19:15,33686,54525.5,28.44,51038.5,33.5015
220,8/18/18 19:30,33686,54525.5,28.44,51038.5,33.5015
221,8/18/18 19:45,33686,54525.5,28.44,51038.5,33.5015
222,8/18/18 20:00,33686,54525.5,28.43,51048,33.5085
223,8/18/18 20:15,33686,54525.5,28.43,51048,33.5085
224,8/18/18 20:30,33686,54525.5,28.44,51038.5,33.5015
225,8/18/18 20:45,33686,54525.5,28.44,51038.5,33.5015
226,8/18/18 21:00,33686,54525.5,28.43,51048,33.5085
227,8/18/18 21:15,33686,54525.5,28.43,51048,33.5085
228,8/18/18 21:30,33686,54525.5,28.43,51048,33.5085
229,8/18/18 21:45,33686,54525.5,28.43,51048,33.5085
230,8/18/18 22:00,33686,54525.5,28.43,51048,33.5085
231,8/18/18 22:15,33686,54525.5,28.43,51048,33.5085
232,8/18/18 22:30,33686,54525.5,28.43,51048,33.5085
233,8/18/18 22:45,33686,54525.5,28.43,51048,33.5085
234,8/18/18 23:00,33686,54525.5,28.43,51048,33.5085
235,8/18/18 23:15,33686,54525.5,28.43,51048,33.5085
236,8/18/18 23:30,33686,54525.5,28.44,51038.5,33.5015
237,8/18/18 23:45,33686,54525.5,28.44,51038.5,33.5015
238,8/19/18 0:00,33686,54525.5,28.44,51038.5,33.5015
239,8/19/18 0:15,33686,54525.5,28.44,51038.5,33.5015
240,8/19/18 0:30,33686,54525.5,28.44,51038.5,33.5015
241,8/19/18 0:45,33686,54525.5,28.44,51038.5,33.5015
242,8/19/18 1:00,33686,54525.5,28.44,51038.5,33.5015
243,8/19/18 1:15,33686,54525.5,28.44,51038.5,33.5015
244,8/19/18 1:30,33686,54525.5,28.44,51038.5,33.5015
245,8/19/18 1:45,33686,54525.5,28.44,51038.5,33.5015
246,8/19/18 2:00,33686,54525.5,28.44,51038.5,33.5015
247,8/19/18 2:15,33686,54525.5,28.44,51038.5,33.5015
248,8/19/18 2:30,33686,54525.5,28.44,51038.5,33.5015
249,8/19/18 2:45,33686,54525.5,28.44,51038.5,33.5015
250,8/19/18 3:00,33686,54525.5,28.44,51038.5,33.5015
251,8/19/18 3:15,33686,54525.5,28.44,51038.5,33.5015
252,8/19/18 3:30,33686,54525.5,28.44,51038.5,33.5015
253,8/19/18 3:45,33686,54525.5,28.44,51038.5,33.5015
254,8/19/18 4:00,33686,54525.5,28.43,51048,33.5085
255,8/19/18 4:15,33686,54525.5,28.44,51038.5,33.5015
256,8/19/18 4:30,33686,54525.5,28.44,51038.5,33.5015
257,8/19/18 4:45,33686,54525.5,28.43,51048,33.5085
258,8/19/18 5:00,33686,54525.5,28.43,51048,33.5085
259,8/19/18 5:15,33686,54525.5,28.43,51048,33.5085
260,8/19/18 5:30,33686,54525.5,28.43,51048,33.5085
261,8/19/18 5:45,33686,54525.5,28.43,51048,33.5085
262,8/19/18 6:00,33686,54525.5,28.43,51048,33.5085
263,8/19/18 6:15,33686,54525.5,28.41,51067.2,33.5227
264,8/19/18 6:30,33686,54525.5,28.41,51067.2,33.5227
265,8/19/18 6:45,33686,54525.5,28.41,51067.2,33.5227
266,8/19/18 7:00,33686,54525.5,28.4,51076.8,33.5297
267,8/19/18 7:15,33686,54525.5,28.4,51076.8,33.5297
268,8/19/18 7:30,33686,54525.5,28.38,51096,33.5439
269,8/19/18 7:45,33686,54525.5,28.38,51096,33.5439
270,8/19/18 8:00,33686,54525.5,28.37,51105.6,33.551
271,8/19/18 8:15,33686,54525.5,28.37,51105.6,33.551
272,8/19/18 8:30,33686,54525.5,28.35,51124.8,33.5651
273,8/19/18 8:45,33686,54525.5,28.37,51105.6,33.551
274,8/19/18 9:00,33686,54525.5,28.38,51096,33.5439
275,8/19/18 9:15,33686,54525.5,28.38,51096,33.5439
276,8/19/18 9:30,33686,54525.5,28.37,51105.6,33.551
277,8/19/18 9:45,33686,54525.5,28.35,51124.8,33.5651
278,8/19/18 10:00,33686,54525.5,28.34,51134.4,33.5722
279,8/19/18 10:15,33686,54525.5,28.34,51134.4,33.5722
280,8/19/18 10:30,33686,54525.5,28.32,51153.7,33.5864
281,8/19/18 10:45,33686,54525.5,28.32,51153.7,33.5864
282,8/19/18 11:00,33686,54525.5,28.32,51153.7,33.5864
283,8/19/18 11:15,33686,54525.5,28.31,51163.3,33.5935
284,8/19/18 11:30,33686,54525.5,28.29,51182.5,33.6077
285,8/19/18 11:45,33686,54525.5,28.29,51182.5,33.6077
286,8/19/18 12:00,33686,54525.5,28.29,51182.5,33.6077
287,8/19/18 12:15,33686,54525.5,28.28,51192.2,33.6148
288,8/19/18 12:30,33686,54525.5,28.27,51201.8,33.6219
289,8/19/18 12:45,33686,54525.5,28.24,51230.7,33.6432
290,8/19/18 13:00,33686,54525.5,28.19,51279,33.6788
291,8/19/18 13:15,33686,54525.5,28.18,51288.6,33.6859
292,8/19/18 13:30,33686,54525.5,28.15,51317.6,33.7073
293,8/19/18 13:45,33686,54525.5,28.13,51337,33.7216
294,8/19/18 14:00,33686,54525.5,28.12,51346.7,33.7287
295,8/19/18 14:15,33686,54525.5,28.12,51346.7,33.7287
296,8/19/18 14:30,33686,54525.5,28.12,51346.7,33.7287
297,8/19/18 14:45,33686,54525.5,28.12,51346.7,33.7287
298,8/19/18 15:00,33686,54525.5,28.12,51346.7,33.7287
299,8/19/18 15:15,33686,54525.5,28.12,51346.7,33.7287
300,8/19/18 15:30,33686,54525.5,28.12,51346.7,33.7287
301,8/19/18 15:45,33686,54525.5,28.1,51366,33.743
302,8/19/18 16:00,33686,54525.5,28.1,51366,33.743
303,8/19/18 16:15,33686,54525.5,28.1,51366,33.743
304,8/19/18 16:30,33686,54525.5,28.1,51366,33.743
305,8/19/18 16:45,33686,54525.5,28.1,51366,33.743
306,8/19/18 17:00,33686,54525.5,28.1,51366,33.743
307,8/19/18 17:15,33686,54525.5,28.1,51366,33.743
308,8/19/18 17:30,33686,54525.5,28.1,51366,33.743
309,8/19/18 17:45,33686,54525.5,28.1,51366,33.743
310,8/19/18 18:00,33686,54525.5,28.1,51366,33.743
311,8/19/18 18:15,33686,54525.5,28.1,51366,33.743
312,8/19/18 18:30,33686,54525.5,28.09,51375.7,33.7502
313,8/19/18 18:45,33686,54525.5,28.09,51375.7,33.7502
314,8/19/18 19:00,33686,54525.5,28.09,51375.7,33.7502
315,8/19/18 19:15,33686,54525.5,28.1,51366,33.743
316,8/19/18 19:30,33686,54525.5,28.09,51375.7,33.7502
317,8/19/18 19:45,33686,54525.5,28.09,51375.7,33.7502
318,8/19/18 20:00,33686,54525.5,28.09,51375.7,33.7502
319,8/19/18 20:15,33686,54525.5,28.09,51375.7,33.7502
320,8/19/18 20:30,33686,54525.5,28.09,51375.7,33.7502
321,8/19/18 20:45,33686,54525.5,28.09,51375.7,33.7502
322,8/19/18 21:00,33686,54525.5,28.09,51375.7,33.7502
323,8/19/18 21:15,33686,54525.5,28.09,51375.7,33.7502
324,8/19/18 21:30,33686,54525.5,28.09,51375.7,33.7502
325,8/19/18 21:45,33686,54525.5,28.09,51375.7,33.7502
326,8/19/18 22:00,33686,54525.5,28.09,51375.7,33.7502
327,8/19/18 22:15,33686,54525.5,28.09,51375.7,33.7502
328,8/19/18 22:30,33686,54525.5,28.09,51375.7,33.7502
329,8/19/18 22:45,33686,54525.5,28.09,51375.7,33.7502
330,8/19/18 23:00,33686,54525.5,28.09,51375.7,33.7502
331,8/19/18 23:15,33686,54525.5,28.09,51375.7,33.7502
332,8/19/18 23:30,33686,54525.5,28.09,51375.7,33.7502
333,8/19/18 23:45,33686,54525.5,28.1,51366,33.743
334,8/20/18 0:00,33686,54525.5,28.1,51366,33.743
335,8/20/18 0:15,33686,54525.5,28.1,51366,33.743
336,8/20/18 0:30,33686,54525.5,28.1,51366,33.743
337,8/20/18 0:45,33686,54525.5,28.1,51366,33.743
338,8/20/18 1:00,33686,54525.5,28.12,51346.7,33.7287
339,8/20/18 1:15,33686,54525.5,28.12,51346.7,33.7287
340,8/20/18 1:30,33686,54525.5,28.12,51346.7,33.7287
341,8/20/18 1:45,33686,54525.5,28.13,51337,33.7216
342,8/20/18 2:00,33686,54525.5,28.13,51337,33.7216
343,8/20/18 2:15,33686,54525.5,28.13,51337,33.7216
344,8/20/18 2:30,33686,54525.5,28.13,51337,33.7216
345,8/20/18 2:45,33686,54525.5,28.15,51317.6,33.7073
346,8/20/18 3:00,33686,54525.5,28.15,51317.6,33.7073
347,8/20/18 3:15,33686,54525.5,28.15,51317.6,33.7073
348,8/20/18 3:30,33686,54525.5,28.16,51308,33.7002
349,8/20/18 3:45,33686,54525.5,28.15,51317.6,33.7073
350,8/20/18 4:00,33686,54525.5,28.16,51308,33.7002
351,8/20/18 4:15,33686,54525.5,28.16,51308,33.7002
352,8/20/18 4:30,33686,54525.5,28.16,51308,33.7002
353,8/20/18 4:45,33686,54525.5,28.16,51308,33.7002
354,8/20/18 5:00,33686,54525.5,28.18,51288.6,33.6859
355,8/20/18 5:15,33686,54525.5,28.18,51288.6,33.6859
356,8/20/18 5:30,33686,54525.5,28.18,51288.6,33.6859
357,8/20/18 5:45,33686,54525.5,28.18,51288.6,33.6859
358,8/20/18 6:00,33686,54525.5,28.18,51288.6,33.6859
359,8/20/18 6:15,33686,54525.5,28.18,51288.6,33.6859
360,8/20/18 6:30,33686,54525.5,28.19,51279,33.6788
361,8/20/18 6:45,33686,54525.5,28.19,51279,33.6788
362,8/20/18 7:00,33686,54525.5,28.19,51279,33.6788
363,8/20/18 7:15,33686,54525.5,28.19,51279,33.6788
364,8/20/18 7:30,33686,54525.5,28.19,51279,33.6788
365,8/20/18 7:45,33686,54525.5,28.19,51279,33.6788
366,8/20/18 8:00,33686,54525.5,28.19,51279,33.6788
367,8/20/18 8:15,33686,54525.5,28.19,51279,33.6788
368,8/20/18 8:30,33686,54525.5,28.19,51279,33.6788
369,8/20/18 8:45,33686,54525.5,28.19,51279,33.6788
370,8/20/18 9:00,33686,54525.5,28.18,51288.6,33.6859
371,8/20/18 9:15,33686,54525.5,28.19,51279,33.6788
372,8/20/18 9:30,33686,54525.5,28.22,51250,33.6574
373,8/20/18 9:45,33686,54525.5,28.22,51250,33.6574
374,8/20/18 10:00,33686,54525.5,28.22,51250,33.6574
375,8/20/18 10:15,33686,54525.5,28.22,51250,33.6574
376,8/20/18 10:30,33686,54525.5,28.21,51259.7,33.6646
377,8/20/18 10:45,33686,54525.5,28.21,51259.7,33.6646
378,8/20/18 11:00,33686,54525.5,28.21,51259.7,33.6646
379,8/20/18 11:15,33686,54525.5,28.21,51259.7,33.6646
380,8/20/18 11:30,33686,54525.5,28.21,51259.7,33.6646
381,8/20/18 11:45,33686,54525.5,28.19,51279,33.6788
382,8/20/18 12:00,33686,54525.5,28.19,51279,33.6788
383,8/20/18 12:15,33686,54525.5,28.19,51279,33.6788
384,8/20/18 12:30,33686,54525.5,28.19,51279,33.6788
385,8/20/18 12:45,33686,54525.5,28.19,51279,33.6788
386,8/20/18 13:00,33686,54525.5,28.18,51288.6,33.6859
387,8/20/18 13:15,33686,54525.5,28.18,51288.6,33.6859
388,8/20/18 13:30,33686,54525.5,28.18,51288.6,33.6859
389,8/20/18 13:45,33686,54525.5,28.18,51288.6,33.6859
390,8/20/18 14:00,33686,54525.5,28.16,51308,33.7002
391,8/20/18 14:15,33686,54525.5,28.15,51317.6,33.7073
392,8/20/18 14:30,33686,54525.5,28.1,51366,33.743
393,8/20/18 14:45,33686,54525.5,28.06,51404.8,33.7716
394,8/20/18 15:00,33686,54525.5,28.03,51433.9,33.7931
395,8/20/18 15:15,33686,54525.5,28.02,51443.6,33.8003
396,8/20/18 15:30,33686,54525.5,28.02,51443.6,33.8003
397,8/20/18 15:45,33686,54525.5,28.02,51443.6,33.8003
398,8/20/18 16:00,33686,54525.5,28.02,51443.6,33.8003
399,8/20/18 16:15,33686,54525.5,28.02,51443.6,33.8003
400,8/20/18 16:30,33686,54525.5,28.02,51443.6,33.8003
401,8/20/18 16:45,33686,54525.5,28,51463.1,33.8146
402,8/20/18 17:00,33686,54525.5,28.02,51443.6,33.8003
403,8/20/18 17:15,33686,54525.5,28.02,51443.6,33.8003
404,8/20/18 17:30,33686,54525.5,28.02,51443.6,33.8003
405,8/20/18 17:45,33686,54525.5,28.02,51443.6,33.8003
406,8/20/18 18:00,33686,54525.5,28.02,51443.6,33.8003
407,8/20/18 18:15,33686,54525.5,28.02,51443.6,33.8003
408,8/20/18 18:30,33686,54525.5,28.02,51443.6,33.8003
409,8/20/18 18:45,33686,54525.5,28.02,51443.6,33.8003
410,8/20/18 19:00,33686,54525.5,28.02,51443.6,33.8003
411,8/20/18 19:15,33686,54525.5,28.02,51443.6,33.8003
412,8/20/18 19:30,33686,54525.5,28.02,51443.6,33.8003
413,8/20/18 19:45,33686,54525.5,28.02,51443.6,33.8003
414,8/20/18 20:00,33686,54525.5,28.02,51443.6,33.8003
