"Plot Title: sargento-old"
"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Water Level, meters"
115,09/09/2018 16:15:00,113.130,28.060,0.609
116,09/09/2018 16:30:00,112.197,28.060,0.516
117,09/09/2018 16:45:00,111.266,28.060,0.423
118,09/09/2018 17:00:00,110.415,28.060,0.339
119,09/09/2018 17:15:00,109.613,28.060,0.259
120,09/09/2018 17:30:00,108.907,28.060,0.189
121,09/09/2018 17:45:00,108.025,28.060,0.101
122,09/09/2018 18:00:00,107.092,27.961,0.008
123,09/09/2018 18:15:00,106.436,27.961,-0.057
124,09/09/2018 18:30:00,106.356,27.961,-0.065
125,09/09/2018 18:45:00,106.356,27.961,-0.065
126,09/09/2018 19:00:00,106.388,27.961,-0.062
127,09/09/2018 19:15:00,106.404,27.961,-0.060
128,09/09/2018 19:30:00,106.420,27.961,-0.059
129,09/09/2018 19:45:00,106.420,27.961,-0.059
130,09/09/2018 20:00:00,106.436,27.961,-0.057
131,09/09/2018 20:15:00,106.452,27.961,-0.056
132,09/09/2018 20:30:00,106.452,27.961,-0.056
133,09/09/2018 20:45:00,106.436,27.961,-0.057
134,09/09/2018 21:00:00,106.436,27.961,-0.057
135,09/09/2018 21:15:00,106.452,27.961,-0.056
136,09/09/2018 21:30:00,106.500,27.961,-0.051
137,09/09/2018 21:45:00,106.484,27.961,-0.052
138,09/09/2018 22:00:00,106.484,27.961,-0.052
139,09/09/2018 22:15:00,106.500,27.961,-0.051
140,09/09/2018 22:30:00,106.468,27.961,-0.054
141,09/09/2018 22:45:00,106.468,27.961,-0.054
142,09/09/2018 23:00:00,106.468,27.961,-0.054
143,09/09/2018 23:15:00,106.484,27.961,-0.052
144,09/09/2018 23:30:00,106.484,27.961,-0.052
145,09/09/2018 23:45:00,106.500,27.961,-0.051
146,09/10/2018 00:00:00,107.156,27.961,0.014
147,09/10/2018 00:15:00,108.694,27.961,0.167
148,09/10/2018 00:30:00,109.576,27.961,0.255
149,09/10/2018 00:45:00,110.555,27.961,0.353
150,09/10/2018 01:00:00,111.744,27.961,0.471
